"Story","Title","Result","Date","Stability","Duration (s)"
"As an aspiring trader i would like to see the price data of some assets","retrieve pricing data for assets","SUCCESS","2019-03-19T21:09:21.172+01:00[Europe/Amsterdam]","0.0","20.93"
"As a new visiter on the website I want to be able to select my language","Select Japanese language","SUCCESS","2019-03-19T21:09:42.157+01:00[Europe/Amsterdam]","0.0","5.36"
